session_id,user_id,region,user_segment,device,variant,peak_hour,rainy_weather,basket_size,trip_distance_km,order_subtotal,delivery_fee,variable_cost,checkout_started,converted_order,cancelled_order,net_completed_order,gross_revenue,contribution_margin
PRC-00001,USR-0001,north,price_sensitive,ios,treatment,1,1,1,1.83,19.09,3.62,2.5,1,0,0,0,3.44,3.44
PRC-00002,USR-0002,south,casual,android,treatment,1,0,2,2.4,25.02,4.7,2.53,1,1,0,1,9.2,6.67
PRC-00003,USR-0003,east,power_user,web,treatment,0,0,3,3.34,24.89,4.08,2.53,1,1,0,1,8.56,6.03
PRC-00004,USR-0004,west,price_sensitive,ios,treatment,0,0,4,3.91,30.53,3.87,2.81,1,0,0,0,5.5,5.5
PRC-00005,USR-0005,north,casual,android,control,0,0,5,5.85,31.14,4.35,3.39,1,1,0,1,9.96,6.57
PRC-00006,USR-0006,south,power_user,web,treatment,0,0,1,6.47,35.61,4.71,2.92,1,1,0,1,11.12,8.2
PRC-00007,USR-0007,east,price_sensitive,ios,control,1,0,2,7.3,38.33,5.51,3.61,1,0,0,0,6.9,6.9
PRC-00008,USR-0008,west,casual,android,treatment,1,0,3,1.55,41.77,4.37,2.49,1,1,1,0,7.52,7.52
PRC-00009,USR-0009,north,power_user,web,control,0,1,4,2.63,42.55,4.04,2.78,1,1,0,1,11.7,8.92
PRC-00010,USR-0010,south,price_sensitive,ios,control,0,0,5,4.22,46.03,4.33,3.03,1,0,0,0,8.29,8.29
PRC-00011,USR-0011,east,casual,android,control,0,0,1,4.1,50.55,4.07,2.4,1,0,0,0,9.1,9.1
PRC-00012,USR-0012,west,power_user,web,treatment,0,0,2,5.52,20.95,4.64,2.86,1,0,0,0,3.77,3.77
PRC-00013,USR-0013,north,price_sensitive,ios,control,1,0,3,5.88,22.01,4.94,3.44,1,1,0,1,8.9,5.46
PRC-00014,USR-0014,south,casual,android,treatment,1,0,4,7.09,25.9,5.52,3.86,1,0,0,0,4.66,4.66
PRC-00015,USR-0015,east,power_user,web,control,0,0,5,1.8,28.63,3.82,2.5,1,1,0,1,8.97,6.47
PRC-00016,USR-0016,west,price_sensitive,ios,treatment,0,0,1,2.56,32.0,3.8,2.06,1,1,0,1,9.56,7.5
PRC-00017,USR-0017,north,casual,android,control,0,1,2,3.85,33.88,4.4,2.75,1,1,1,0,6.1,6.1
PRC-00018,USR-0018,south,power_user,web,control,0,0,3,4.53,39.89,4.68,2.8,1,0,0,0,7.18,7.18
PRC-00019,USR-0019,east,price_sensitive,ios,control,1,0,4,5.52,41.82,5.12,3.51,1,1,0,1,12.65,9.14
PRC-00020,USR-0020,west,casual,android,control,1,0,5,6.04,43.72,5.59,3.78,1,0,0,0,7.87,7.87
PRC-00021,USR-0021,north,power_user,web,control,0,0,1,6.51,46.85,4.98,2.93,1,0,0,0,8.43,8.43
PRC-00022,USR-0022,south,price_sensitive,ios,control,0,0,2,2.23,50.24,3.53,2.14,1,0,0,0,9.04,9.04
PRC-00023,USR-0023,east,casual,android,treatment,0,0,3,2.94,21.73,3.42,2.45,1,1,1,0,3.91,3.91
PRC-00024,USR-0024,west,power_user,web,treatment,0,0,4,4.1,24.98,3.9,2.85,1,1,0,1,8.4,5.55
PRC-00025,USR-0025,north,price_sensitive,ios,treatment,1,1,5,4.48,25.1,3.96,3.69,1,0,0,0,4.52,4.52
PRC-00026,USR-0026,south,casual,android,treatment,1,0,1,5.27,28.15,5.33,3.01,1,1,0,1,10.4,7.39
PRC-00027,USR-0027,east,power_user,web,control,0,0,2,6.15,31.34,4.75,3.0,1,1,0,1,10.39,7.39
PRC-00028,USR-0028,west,price_sensitive,ios,treatment,0,0,3,6.83,35.77,4.14,3.3,1,1,0,1,10.58,7.28
PRC-00029,USR-0029,north,casual,android,control,0,0,4,1.78,38.46,3.51,2.34,1,1,0,1,10.43,8.09
PRC-00030,USR-0030,south,power_user,web,control,0,0,5,3.33,42.47,3.65,2.83,1,1,0,1,11.29,8.46
PRC-00031,USR-0031,east,price_sensitive,ios,control,1,0,1,4.22,42.66,4.91,2.78,1,1,0,1,12.59,9.81
PRC-00032,USR-0032,west,casual,android,treatment,1,0,2,4.02,45.77,5.0,2.88,1,1,0,1,13.24,10.36
PRC-00033,USR-0033,north,power_user,web,treatment,0,1,3,5.88,50.36,4.04,3.34,1,1,0,1,13.1,9.76
PRC-00034,USR-0034,south,price_sensitive,ios,treatment,0,0,4,5.73,19.87,3.88,3.21,1,1,0,1,7.46,4.25
PRC-00035,USR-0035,east,casual,android,control,0,0,5,6.83,25.13,4.99,3.6,1,0,0,0,4.52,4.52
PRC-00036,USR-0036,west,power_user,web,control,0,0,1,2.5,28.3,4.31,2.05,1,0,0,0,5.09,5.09
PRC-00037,USR-0037,north,price_sensitive,ios,treatment,1,0,2,2.88,28.28,3.8,2.63,1,1,1,0,5.09,5.09
PRC-00038,USR-0038,south,casual,android,control,1,0,3,3.42,34.05,4.96,2.9,1,1,0,1,11.09,8.19
PRC-00039,USR-0039,east,power_user,web,treatment,0,0,4,4.57,36.98,4.36,2.96,1,1,0,1,11.02,8.06
PRC-00040,USR-0040,west,price_sensitive,ios,treatment,0,0,5,5.35,38.43,4.08,3.28,1,1,0,1,11.0,7.72
PRC-00041,USR-0041,north,casual,android,treatment,0,1,1,5.69,42.28,4.78,3.0,1,1,0,1,12.39,9.39
PRC-00042,USR-0042,south,power_user,web,treatment,0,0,2,6.58,44.56,4.18,3.1,1,0,0,0,8.02,8.02
PRC-00043,USR-0043,east,price_sensitive,ios,control,1,0,3,2.24,47.18,4.42,2.64,1,0,0,0,8.49,8.49
PRC-00044,USR-0044,west,casual,android,treatment,1,0,4,2.55,51.27,4.99,2.86,1,1,0,1,14.22,11.36
PRC-00045,USR-0045,north,power_user,web,treatment,0,0,5,3.48,20.05,4.19,2.87,1,1,0,1,7.8,4.93
PRC-00046,USR-0046,south,price_sensitive,ios,treatment,0,0,1,3.99,25.39,3.35,2.38,1,1,0,1,7.92,5.54
PRC-00047,USR-0047,east,casual,android,treatment,0,0,2,5.14,27.88,3.96,2.78,1,0,0,0,5.02,5.02
PRC-00048,USR-0048,west,power_user,web,treatment,0,0,3,6.68,29.84,4.68,3.27,1,1,0,1,10.05,6.78
PRC-00049,USR-0049,north,price_sensitive,ios,control,1,1,4,7.43,32.92,5.1,4.18,1,1,0,1,11.03,6.85
PRC-00050,USR-0050,south,casual,android,treatment,1,0,5,2.23,34.45,4.94,2.94,1,1,0,1,11.14,8.2
PRC-00051,USR-0051,east,power_user,web,control,0,0,1,3.39,38.11,4.36,2.25,1,1,0,1,11.22,8.97
PRC-00052,USR-0052,west,price_sensitive,ios,control,0,0,2,4.03,39.31,4.29,2.54,1,1,0,1,11.37,8.83
PRC-00053,USR-0053,north,casual,android,treatment,0,0,3,3.91,43.7,3.66,2.66,1,0,0,0,7.87,7.87
PRC-00054,USR-0054,south,power_user,web,treatment,0,0,4,5.7,47.01,4.44,3.2,1,1,0,1,12.9,9.7
PRC-00055,USR-0055,east,price_sensitive,ios,control,1,0,5,6.46,51.15,5.58,3.87,1,0,0,0,9.21,9.21
PRC-00056,USR-0056,west,casual,android,control,1,0,1,6.42,19.87,5.5,3.26,1,0,0,0,3.58,3.58
PRC-00057,USR-0057,north,power_user,web,control,0,1,2,1.69,24.07,4.13,2.27,1,0,0,0,4.33,4.33
PRC-00058,USR-0058,south,price_sensitive,ios,treatment,0,0,3,3.36,27.64,3.07,2.54,1,0,0,0,4.98,4.98
PRC-00059,USR-0059,east,casual,android,control,0,0,4,4.06,30.96,4.5,2.84,1,0,0,0,5.57,5.57
PRC-00060,USR-0060,west,power_user,web,control,0,0,5,4.03,33.36,4.5,2.99,1,0,0,0,6.0,6.0
PRC-00061,USR-0061,north,price_sensitive,ios,control,1,0,1,5.25,36.36,4.86,3.0,1,0,0,0,6.54,6.54
PRC-00062,USR-0062,south,casual,android,control,1,0,2,5.73,36.48,4.97,3.26,1,0,0,0,6.57,6.57
PRC-00063,USR-0063,east,power_user,web,treatment,0,0,3,7.07,40.28,4.52,3.36,1,0,0,0,7.25,7.25
PRC-00064,USR-0064,west,price_sensitive,ios,treatment,0,0,4,1.64,45.49,3.61,2.31,1,1,0,1,11.8,9.49
PRC-00065,USR-0065,north,casual,android,control,0,1,5,2.82,45.48,4.15,2.97,1,1,0,1,12.34,9.37
PRC-00066,USR-0066,south,power_user,web,treatment,0,0,1,3.79,49.35,3.8,2.33,1,0,0,0,8.88,8.88
PRC-00067,USR-0067,east,price_sensitive,ios,control,1,0,2,4.55,22.24,5.11,3.0,1,0,0,0,4.0,4.0
PRC-00068,USR-0068,west,casual,android,treatment,1,0,3,4.78,23.17,5.35,3.2,1,1,0,1,9.52,6.32
PRC-00069,USR-0069,north,power_user,web,treatment,0,0,4,5.86,27.32,4.22,3.24,1,1,0,1,9.14,5.9
PRC-00070,USR-0070,south,price_sensitive,ios,control,0,0,5,6.8,28.15,5.06,3.6,1,0,0,0,5.07,5.07
PRC-00071,USR-0071,east,casual,android,treatment,0,0,1,1.86,32.75,3.72,1.91,1,1,0,1,9.62,7.71
